ID via;TIPO;Via;Tipo via
7217;1;FRATELLI INDUNO;Via
7218;1;GRAN SAN BERNARDO;Via
7219;1;EMILIO BIANCHI;Via
7220;3;DIOCLEZIANO;Pza
7221;1;MAC MAHON;Via
7222;1;GIUSEPPE GOVONE;Via
7223;1;PRINCIPE EUGENIO;Via
7224;1;DOMENICO CUCCHIARI;Via
7225;1;ENRICO TELLINI;Via
7226;1;CESENA;Via
7227;1;AOSTA;Via
7228;1;LUIGI CAGNOLA;Via
7229;1;BARTOLOMEO COLLEONI;Via
7230;1;ARNOLFO DI CAMBIO;Via
7231;3;CORIOLANO;Pza
7232;1;LUIGI NONO;Via
7233;7;CIMITERO MONUMENTALE;Ple
7234;1;CERESIO;Via
7235;7;ANTONIO BAIAMONTI;Ple
7236;1;ARISTOTILE FIORAVANTI;Via
7237;1;GALILEO FERRARIS;Via
7238;1;ANTONIO CANOVA;Via
7239;1;GRIGNA;Via
7240;1;VAL VIGEZZO;Via
7241;1;FRANCESCO KORISTKA;Via
7242;1;ANTONIO LAZZATI;Via
7243;1;LUIGI SABATELLI;Via
7244;1;FRA GIROLAMO SAVONAROLA;Via
7245;1;TELEMACO SIGNORINI;Via
7246;1;STILICONE;Via
7247;1;NICODEMO TRANCHEDINI;Via
7248;1;BALDO DEGLI UBALDI;Via
7249;1;PIETRO DA CEMMO;Via
7250;1;MELCHIORRE DELFICO;Via
7251;1;DELLA PECETTA;Via
7252;1;GIOVANNI DUPRE';Via
7253;1;RICCARDO CERONI;Via
7254;1;ULDERICO OLLEARO;Via
7255;1;VALCAVA;Via
7256;1;DOLFIN;Via
7257;1;COSTANTINO E MARIA BRIGHENTI;Via
7258;1;GIUSEPPE CUZZI;Via
7259;1;ANTONIO PACINOTTI;Via
7260;1;PIETRO GASSENDI;Via
7261;1;GIAMBATTISTA BODONI;Via
7262;1;SIDNEY SONNINO;Via
7263;1;MICHELINO DA BESOZZO;Via
7264;1;MASOLINO DA PANICALE;Via
7265;1;ROSINA GRUGNOLA FERRARIO;Via
7266;1;MAGGIANICO;Via
7267;1;LUCHINO VISCONTI;Via
7268;1;DEMETRIO CRETESE;Via
7269;1;CARDINALE BRANDA CASTIGLIONI;Via
7270;1;MICHELE PERICLE NEGROTTO;Via
7271;1;RAFFAELE LAMBRUSCHINI;Via
7272;1;VILLAPIZZONE;Via
7273;3;VILLAPIZZONE;Pza
7274;1;ARNALDO FUSINATO;Via
7275;1;PAOLO MANTEGAZZA;Via
7276;1;CESARE AJRAGHI;Via
7277;3;POMPEO CASTELLI;Pza
7278;1;CONSOLE MARCELLO;Via
7279;1;GROSSETO;Via
7280;1;RICCIONE;Via
7281;1;GIUSEPPE SERCOGNANI;Via
7282;1;GIORGIO CASTELLI;Via
7283;1;FLAVIO ANDO';Via
7284;1;DEGLI AILANTI;Via
7285;1;CODIGORO;Via
7286;1;GIUSEPPE LA MASA;Via
7288;27;ANTONIO CEDERNA;Grd
7289;1;PAOLO MARIANI;Via
7290;1;VARESINA;Via
7291;1;CHIARI;Via
7292;1;JACOPINO DA TRADATE;Via
7293;1;GIOVANNI AMBROGIO DE PREDIS;Via
7294;1;BRAMANTINO;Via
7295;1;CAMPO DEI FIORI;Via
7296;1;DEGLI ARTIERI;Via
7297;1;LOCARNO;Via
7298;1;ALBENZA;Via
7299;1;MONTE BARRO;Via
7300;3;PREALPI;Pza
7301;1;MONTEVECCHIA;Via
7302;1;BISBINO;Via
7303;1;MOTTARONE;Via
7304;1;BELLINZONA;Via
7305;1;DELLA RIGOSELLA;Via
7306;1;ERCOLANO;Via
7307;1;FRANCESCO ARDISSONE;Via
7308;1;CASTELLINO DA CASTELLO;Via
7309;1;EUGENIO DONADONI;Via
7310;2;DEI PIOPPI;Vle
7311;1;DEI FRASSINI;Via
7312;1;MARIO PANNUNZIO;Via
7313;20;GIOVANNI TESTORI;Par
7314;20;FRANCO VERGA;Par
7315;27;LAURA CONTI;Grd
7317;1;DELLE QUERCE;Via
7324;1;MARIO DEL MONACO;Via
7325;1;CHIASSO;Via
7326;1;CARLO PERINI;Via
7327;1;CASTELLAMMARE;Via
7328;1;GROSOTTO;Via
7329;1;PESCHIERA;Via
7330;1;MARCO PACUVIO;Via
7331;1;PORRETTA;Via
7332;1;DANTE CHIASSERINI;Via
7333;1;GIAMPIETRINO;Via
7334;1;STEFANO SICCOLI;Via
7335;1;TAVAZZANO;Via
7336;1;FRIDTJOF NANSEN;Via
7337;1;ANIENE;Via
7338;1;ARTURO GRAF;Via
7339;1;FILIPPO DE PISIS;Via
7340;1;CARLO AMORETTI;Via
7341;1;ANTONIO JORINI;Via
7342;1;GENTILE DA FABRIANO;Via
7343;1;DALMAGIA';Via
7344;1;CHEREN;Via
7345;1;BIR ACHEIM;Via
7346;1;EL ALAMEIN;Via
7347;1;CARDINALE PIETRO MAFFI;Via
7348;1;CERKOVO;Via
7349;1;CESARE PASCARELLA;Via
7350;1;GIOVANNI VITTANI;Via
7351;1;FEDERICO DE ROBERTO;Via
7352;1;SEBASTIANO SATTA;Via
7353;1;ANTONIO GAZZOLETTI;Via
7354;1;FRATELLI CAMILLO E GIANNINO ANTONA TRAVERSI;Via
7355;1;TINA DI LORENZO;Via
7356;1;CONCILIO VATICANO SECONDO;Via
7357;1;CAPO RIZZUTO;Via
7358;1;LANDOLFO II DA CARCANO;Via
7359;1;DINO BUZZATI;Via
7360;1;TORRAZZA;Via
7361;1;EMANUELE JONA;Via
7362;1;DAVIDE CALANDRA;Via
7363;1;BUSTO ARSIZIO;Via
7364;1;PARABIAGO;Via
7365;1;BOLLA;Via
7366;1;MARIA MELATO;Via
7367;1;TRILUSSA;Via
7368;1;RENATO SIMONI;Via
7369;1;SABATINO LOPEZ;Via
7370;1;CEFALU';Via
7371;1;ENRICO SERRETTA;Via
7372;21;GIAN GIACOMO CAVAZZI DELLA SOMAGLIA;Pzt
7373;1;PUNTA LICOSA;Via
7374;1;LUIGI VERATTI;Via
7375;1;MARZABOTTO;Via
7376;1;GIUSEPPE ANTONIO BORGESE;Via
7377;1;ALFREDO ALBERTINI;Via
7378;1;LUIGI BIZZOZZERO;Via
7379;1;NORCIA;Via
7380;1;DARIO NICCODEMI;Via
7381;1;MARCANTONIO DAL RE;Via
7382;1;GIOVANNI BATTISTA CASELLA;Via
7383;1;DE ROLANDI BATTISTA;Via
7384;1;GIOCONDO ALBERTOLLI;Via
7385;1;MAURO FIAMMINGHINO;Via
7386;7;FRANCESCO ACCURSIO;Ple
7387;1;AMBROGIO FIGINO;Via
7388;1;ARGENTA;Via
7389;1;SALVATORE ROSA;Via
7390;2;CARLO ESPINASSE;Vle
7391;1;PIER FRANCESCO MOLA;Via
7392;1;AMPEZZO;Via
7393;1;CALISTO DA LODI;Via
7394;1;PANFILO NUVOLONE;Via
7395;1;PANTELLERIA;Via
7396;1;LUDOVICO DI BREME;Via
7397;1;VITTORIO LOCCHI;Via
7398;1;BERNARDINO GALLIARI;Via
7399;1;PERIN DEL VAGA;Via
7400;7;SANTORRE DI SANTAROSA;Ple
7401;1;GIOVANNI BATTISTA DE ROSSI;Via
7402;1;MONTE ALTISSIMO;Via
7403;1;GIOVANNI MARIA BICETTI DE' BUTTINONI;Via
7404;1;ANTONIO RAIMONDI;Via
7405;1;GIUSEPPE MONTANELLI;Via
7406;1;BARNABA ORIANI;Via
7407;1;LUIGI CAPUANA;Via
7408;1;GIOVANNI DA UDINE;Via
7409;1;POLIDORO DA CARAVAGGIO;Via
7410;1;LUCIANO;Via
7411;1;MONTEFELTRO;Via
7412;7;AI LAGHI;Ple
7413;1;GAREGNANO;Via
7414;1;SAN BRUNONE;Via
7415;1;TRAPANI;Via
7416;1;MADRE CAROLINA ORSENIGO;Via
7417;1;VAL FORMAZZA;Via
7418;1;PIERO MONTAGNANI MARELLI;Via
7419;1;BRIVIO;Via
7420;1;GALLARATE;Via
7421;1;GIOVANNI BATTISTA GIORGINI;Via
7422;1;CORMONS;Via
7423;1;GADAMES;Via
7424;1;GRADISCA;Via
7425;1;BRESSANONE;Via
7426;1;CAPODISTRIA;Via
7427;1;ALBIO TIBULLO;Via
7428;1;CATULLO;Via
7429;1;GIUSEPPE GIANNINI;Via
7430;1;PADRE CARLO SALERIO;Via
7431;1;DEI CIGNOLI;Via
